Tiempo(s),Latitud,Longitud,Presión(Pa),Temperatura(°C),Humedad(%),Altitud_BMP280(m),Altitud_Relativa(m),Altitud_GPS(m),AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),MagX(μT),MagY(μT),MagZ(μT)
951.98,0.000000,0.000000,75178.04,37.18,0.00,44.25,44.25,0.00,-0.04,0.09,0.96,3.97,-15.95,2.20,764.00,24320.00,29786.00
955.98,0.000000,0.000000,75178.83,37.23,0.00,44.16,44.16,0.00,-0.04,0.09,0.96,-5.19,0.99,-0.41,764.00,24320.00,29786.00
957.98,0.000000,0.000000,75179.39,37.26,0.00,44.10,44.10,0.00,-0.03,0.09,0.96,-0.72,4.21,0.48,764.00,24320.00,29786.00
959.96,0.000000,0.000000,75178.76,37.28,0.00,44.17,44.17,0.00,-0.03,0.09,0.96,7.80,0.20,2.69,764.00,24320.00,29786.00
961.98,0.000000,0.000000,75179.12,37.29,0.00,44.13,44.13,0.00,-0.03,0.12,0.96,-16.85,-7.70,0.58,764.00,24320.00,29786.00
963.98,0.000000,0.000000,75178.69,37.31,0.00,44.18,44.18,0.00,-0.04,0.09,0.96,7.57,-4.45,-0.29,764.00,24320.00,29786.00
967.97,0.000000,0.000000,75177.52,37.34,0.00,44.30,44.30,0.00,-0.03,0.09,0.96,6.23,-1.70,0.52,764.00,24320.00,29786.00
969.98,0.000000,0.000000,75178.09,37.36,0.00,44.24,44.24,0.00,-0.03,0.10,0.96,-2.86,-4.01,-0.76,764.00,24320.00,29786.00
971.98,0.000000,0.000000,75177.70,37.37,0.00,44.28,44.28,0.00,-0.04,0.08,0.96,1.49,-4.71,0.08,764.00,24320.00,29786.00
973.98,0.000000,0.000000,75177.59,37.39,0.00,44.29,44.29,0.00,-0.04,0.09,0.96,4.04,-1.93,-0.12,764.00,24320.00,29786.00
975.98,0.000000,0.000000,75177.60,37.41,0.00,44.29,44.29,0.00,-0.05,0.08,0.95,-8.86,-1.82,-1.34,764.00,24320.00,29786.00
977.98,0.000000,0.000000,75177.35,37.42,0.00,44.32,44.32,0.00,-0.04,0.09,0.94,-1.83,-1.63,-2.38,764.00,24320.00,29786.00
979.98,0.000000,0.000000,75176.36,37.43,0.00,44.42,44.42,0.00,-0.04,0.07,0.95,-7.48,2.07,-2.03,764.00,24320.00,29786.00
981.98,0.000000,0.000000,75176.02,37.44,0.00,44.46,44.46,0.00,-0.03,0.08,0.96,-6.99,-0.66,3.73,764.00,24320.00,29786.00
983.98,0.000000,0.000000,75176.45,37.46,0.00,44.42,44.42,0.00,-0.04,0.09,0.95,0.30,-3.25,-2.70,764.00,24320.00,29786.00
985.98,0.000000,0.000000,75175.92,37.47,0.00,44.47,44.47,0.00,-0.04,0.09,0.95,-5.82,-4.86,-0.54,764.00,24320.00,29786.00
987.98,0.000000,0.000000,75176.17,37.48,0.00,44.44,44.44,0.00,-0.03,0.09,0.95,1.66,-3.81,4.90,764.00,24320.00,29786.00
989.98,0.000000,0.000000,75176.65,37.49,0.00,44.39,44.39,0.00,-0.04,0.10,0.96,3.65,-8.14,1.39,764.00,24320.00,29786.00
991.98,0.000000,0.000000,75177.02,37.49,0.00,44.35,44.35,0.00,-0.03,0.08,0.94,-0.79,-6.90,0.07,764.00,24320.00,29786.00
993.98,0.000000,0.000000,75176.70,37.51,0.00,44.39,44.39,0.00,-0.03,0.09,0.95,-7.77,2.40,1.75,764.00,24320.00,29786.00
995.98,0.000000,0.000000,75177.03,37.52,0.00,44.35,44.35,0.00,-0.04,0.08,0.96,-2.99,0.26,-0.32,764.00,24320.00,29786.00
997.98,0.000000,0.000000,75177.27,37.53,0.00,44.33,44.33,0.00,-0.03,0.08,0.96,-0.83,-2.44,0.29,764.00,24320.00,29786.00
999.97,0.000000,0.000000,75177.73,37.54,0.00,44.28,44.28,0.00,-0.03,0.09,0.96,-2.33,-5.58,0.56,764.00,24320.00,29786.00
1001.98,0.000000,0.000000,75178.22,37.55,0.00,44.23,44.23,0.00,-0.04,0.09,0.96,-2.40,-3.27,0.73,764.00,24320.00,29786.00
1003.98,0.000000,0.000000,75178.74,37.56,0.00,44.17,44.17,0.00,-0.04,0.08,0.95,1.10,0.18,-0.99,764.00,24320.00,29786.00
1005.98,0.000000,0.000000,75178.57,37.57,0.00,44.19,44.19,0.00,-0.04,0.08,0.96,-4.68,6.69,-1.03,764.00,24320.00,29786.00
1007.97,0.000000,0.000000,75178.02,37.59,0.00,44.25,44.25,0.00,-0.04,0.09,0.96,-4.07,-3.36,0.34,764.00,24320.00,29786.00
1009.98,0.000000,0.000000,75177.98,37.59,0.00,44.25,44.25,0.00,-0.04,0.08,0.96,-6.72,-1.45,0.46,764.00,24320.00,29786.00
1011.98,0.000000,0.000000,75177.84,37.61,0.00,44.27,44.27,0.00,-0.04,0.08,0.95,-2.55,0.24,-0.08,764.00,24320.00,29786.00
1013.98,0.000000,0.000000,75178.09,37.63,0.00,44.24,44.24,0.00,-0.03,0.09,0.96,-1.53,-0.66,-0.27,764.00,24320.00,29786.00
1015.98,0.000000,0.000000,75178.42,37.63,0.00,44.21,44.21,0.00,-0.04,0.09,0.96,-0.95,0.14,0.00,764.00,24320.00,29786.00
1017.98,0.000000,0.000000,75178.86,37.64,0.00,44.16,44.16,0.00,-0.03,0.09,0.95,0.12,-2.44,-0.04,764.00,24320.00,29786.00
1019.98,0.000000,0.000000,75178.63,37.64,0.00,44.18,44.18,0.00,-0.03,0.09,0.96,-0.19,-1.12,-0.01,764.00,24320.00,29786.00
1027.98,0.000000,0.000000,75174.10,37.68,0.00,44.66,44.66,0.00,-0.03,0.06,1.09,-11.00,7.66,-8.29,764.00,24320.00,29786.00
1029.98,0.000000,0.000000,75170.20,37.68,0.00,45.08,45.08,0.00,-0.05,0.08,1.00,-15.23,46.10,-6.04,764.00,24320.00,29786.00
1031.97,0.000000,0.000000,75166.95,37.69,0.00,45.42,45.42,0.00,-0.01,0.10,0.75,-12.86,40.28,-7.76,764.00,24320.00,29786.00
1033.98,0.000000,0.000000,75158.89,37.70,0.00,46.28,46.28,0.00,-0.10,0.05,1.17,-15.64,-6.25,-6.74,764.00,24320.00,29786.00
1035.98,0.000000,0.000000,75148.38,37.70,0.00,47.39,47.39,0.00,-0.09,0.05,0.72,-4.06,-42.51,-7.35,764.00,24320.00,29786.00
1037.98,0.000000,0.000000,75138.74,37.71,0.00,48.41,48.41,0.00,-0.04,0.05,1.13,-4.76,-48.89,0.03,764.00,24320.00,29786.00
1043.98,0.000000,0.000000,75121.56,37.73,0.00,50.24,50.24,0.00,0.01,0.08,1.13,16.82,-60.88,-82.58,764.00,24320.00,29786.00
1046.00,0.000000,0.000000,75110.60,37.74,0.00,51.40,51.40,0.00,-0.04,0.07,0.96,-20.14,-51.74,-14.96,764.00,24320.00,29786.00
1047.98,0.000000,0.000000,75083.95,37.74,0.00,54.23,54.23,0.00,-0.02,0.06,0.93,2.59,-36.67,-2.40,764.00,24320.00,29786.00
1049.98,0.000000,0.000000,75038.77,37.74,0.00,59.02,59.02,0.00,-0.02,0.07,0.90,-10.30,-9.38,9.89,764.00,24320.00,29786.00
1051.97,0.000000,0.000000,74977.34,37.73,0.00,65.55,65.55,0.00,-0.01,0.07,0.68,-6.58,21.20,-3.33,764.00,24320.00,29786.00
1053.98,0.000000,0.000000,74910.43,37.73,0.00,72.66,72.66,0.00,0.00,0.06,1.16,-15.25,-7.40,1.88,764.00,24320.00,29786.00
1055.97,0.000000,0.000000,74850.95,37.74,0.00,78.98,78.98,0.00,-0.01,0.08,0.77,30.85,-31.14,6.81,764.00,24320.00,29786.00
1057.97,0.000000,0.000000,74793.96,37.73,0.00,85.05,85.05,0.00,-0.03,0.05,1.00,26.19,-50.71,13.47,764.00,24320.00,29786.00
1059.98,0.000000,0.000000,74735.70,37.73,0.00,91.25,91.25,0.00,0.01,0.01,1.08,-10.87,-29.91,7.01,764.00,24320.00,29786.00
1061.97,0.000000,0.000000,74680.69,37.73,0.00,97.12,97.12,0.00,-0.03,0.04,1.06,-17.90,5.58,-23.87,764.00,24320.00,29786.00
1063.98,0.000000,0.000000,74628.60,37.73,0.00,102.67,102.67,0.00,-0.05,0.09,1.05,-3.72,-21.29,7.74,764.00,24320.00,29786.00
1065.98,0.000000,0.000000,74575.48,37.73,0.00,108.34,108.34,0.00,-0.01,0.09,0.99,-12.50,-6.81,0.11,764.00,24320.00,29786.00
1067.98,0.000000,0.000000,74520.74,37.72,0.00,114.18,114.18,0.00,-0.03,0.09,0.99,-3.73,-4.38,2.53,764.00,24320.00,29786.00
1069.97,0.000000,0.000000,74467.56,37.71,0.00,119.86,119.86,0.00,-0.00,0.04,0.68,7.21,13.63,-0.43,764.00,24320.00,29786.00
1071.98,0.000000,0.000000,74408.99,37.71,0.00,126.12,126.12,0.00,-0.03,0.09,1.00,-8.92,-9.45,-9.01,764.00,24320.00,29786.00
1073.97,0.000000,0.000000,74336.27,37.71,0.00,133.90,133.90,0.00,-0.02,0.08,0.73,9.61,-26.43,31.99,764.00,24320.00,29786.00
1075.97,0.000000,0.000000,74251.55,37.70,0.00,142.96,142.96,0.00,-0.02,0.14,1.28,-22.95,9.28,3.99,764.00,24320.00,29786.00
1077.97,0.000000,0.000000,74164.65,37.69,0.00,152.27,152.27,0.00,-0.05,0.09,0.93,3.76,37.24,-8.71,764.00,24320.00,29786.00
1079.99,0.000000,0.000000,74077.62,37.68,0.00,161.61,161.61,0.00,-0.03,0.06,0.88,-2.13,29.31,-21.92,764.00,24320.00,29786.00
1081.99,0.000000,0.000000,74001.66,37.68,0.00,169.76,169.76,0.00,-0.08,0.00,0.68,-26.76,9.22,-12.70,764.00,24320.00,29786.00
1083.99,0.000000,0.000000,73941.55,37.68,0.00,176.22,176.22,0.00,-0.16,-0.00,0.84,-48.87,-11.34,-3.97,764.00,24320.00,29786.00
1085.97,0.000000,0.000000,73898.13,37.67,0.00,180.88,180.88,0.00,-0.13,0.03,0.92,-7.42,10.10,1.91,764.00,24320.00,29786.00
1087.98,0.000000,0.000000,73874.97,37.68,0.00,183.37,183.37,0.00,-0.02,-0.07,0.68,4.27,-32.23,1.79,764.00,24320.00,29786.00
1089.97,0.000000,0.000000,73863.92,37.67,0.00,184.56,184.56,0.00,-0.03,0.13,0.84,-32.29,-7.00,1.74,764.00,24320.00,29786.00
1091.97,0.000000,0.000000,73843.37,37.66,0.00,186.77,186.77,0.00,0.06,-0.02,1.08,1.63,34.81,2.92,764.00,24320.00,29786.00
1093.97,0.000000,0.000000,73807.52,37.66,0.00,190.63,190.63,0.00,-0.12,0.06,1.01,-2.57,34.00,2.77,764.00,24320.00,29786.00
1098.02,0.000000,0.000000,73683.05,37.65,0.00,204.03,204.03,0.00,-0.01,0.08,0.80,-13.63,27.20,-19.02,764.00,24320.00,29786.00
1103.97,0.000000,0.000000,73429.17,37.61,0.00,231.43,231.43,0.00,0.02,0.12,0.91,-9.32,-30.75,-1.75,764.00,24320.00,29786.00
1105.97,0.000000,0.000000,73343.70,37.59,0.00,240.67,240.67,0.00,0.01,0.12,0.81,49.55,-42.68,-5.39,764.00,24320.00,29786.00
1107.96,0.000000,0.000000,73259.13,37.57,0.00,249.82,249.82,0.00,0.02,0.07,0.80,-0.09,-7.41,-11.31,764.00,24320.00,29786.00
1109.96,0.000000,0.000000,73181.06,37.55,0.00,258.27,258.27,0.00,0.03,0.14,1.07,18.38,-11.87,-5.56,764.00,24320.00,29786.00
1111.97,0.000000,0.000000,73119.09,37.53,0.00,264.99,264.99,0.00,0.01,0.12,0.91,37.28,-12.56,-1.13,764.00,24320.00,29786.00
1113.96,0.000000,0.000000,73075.67,37.52,0.00,269.70,269.70,0.00,0.00,0.18,1.29,15.80,-17.65,-3.76,764.00,24320.00,29786.00
1115.98,0.000000,0.000000,73049.45,37.50,0.00,272.55,272.55,0.00,-0.02,0.12,0.88,-30.23,-14.50,-0.48,764.00,24320.00,29786.00
1125.96,0.000000,0.000000,73030.31,37.40,0.00,274.62,274.62,0.00,0.02,0.14,0.94,9.00,58.70,-11.72,764.00,24320.00,29786.00
1127.96,0.000000,0.000000,73028.54,37.38,0.00,274.81,274.81,0.00,0.00,0.11,0.92,6.69,16.27,-2.07,764.00,24320.00,29786.00
1131.99,0.000000,0.000000,73031.45,37.35,0.00,274.50,274.50,0.00,-0.01,0.15,1.01,-17.49,-34.65,1.56,764.00,24320.00,29786.00
1135.98,0.000000,0.000000,73044.23,37.31,0.00,273.11,273.11,0.00,-0.01,0.17,1.19,-134.76,26.08,-50.58,764.00,24320.00,29786.00
1139.96,0.000000,0.000000,73036.92,37.27,0.00,273.91,273.91,0.00,-0.12,0.43,1.21,-28.37,37.29,0.70,764.00,24320.00,29786.00
1141.98,0.000000,0.000000,73030.91,37.26,0.00,274.56,274.56,0.00,-0.00,0.24,1.21,-128.58,-57.11,6.03,764.00,24320.00,29786.00
1143.96,0.000000,0.000000,73028.67,37.24,0.00,274.80,274.80,0.00,0.02,0.11,0.83,-5.75,-56.59,9.51,764.00,24320.00,29786.00
1145.97,0.000000,0.000000,73026.75,37.21,0.00,275.01,275.01,0.00,-0.03,0.07,0.65,1.17,-4.15,-13.18,764.00,24320.00,29786.00
1147.96,0.000000,0.000000,73030.48,37.19,0.00,274.60,274.60,0.00,0.04,0.15,1.19,-6.52,0.74,-0.95,764.00,24320.00,29786.00
1149.96,0.000000,0.000000,73043.62,37.16,0.00,273.18,273.18,0.00,0.01,0.14,0.98,-12.91,31.93,3.86,764.00,24320.00,29786.00
1151.98,0.000000,0.000000,73048.50,37.13,0.00,272.65,272.65,0.00,-0.03,0.10,0.81,-20.91,36.95,-8.09,764.00,24320.00,29786.00
1155.96,0.000000,0.000000,73047.45,37.10,0.00,272.76,272.76,0.00,-0.01,0.09,0.78,-7.74,0.87,1.40,764.00,24320.00,29786.00
1157.96,0.000000,0.000000,73047.34,37.07,0.00,272.77,272.77,0.00,0.00,0.15,1.31,-1.36,-8.90,1.70,764.00,24320.00,29786.00
1159.96,0.000000,0.000000,73047.02,37.04,0.00,272.81,272.81,0.00,-0.03,0.11,0.95,3.86,-34.00,2.84,764.00,24320.00,29786.00
1165.96,0.000000,0.000000,73046.45,36.98,0.00,272.87,272.87,0.00,0.01,0.15,1.17,-24.69,6.65,22.09,764.00,24320.00,29786.00
1167.96,0.000000,0.000000,73045.64,36.96,0.00,272.96,272.96,0.00,0.01,0.11,0.85,-24.94,18.73,4.27,764.00,24320.00,29786.00
1169.96,0.000000,0.000000,73044.97,36.93,0.00,273.03,273.03,0.00,-0.04,0.12,1.01,-3.35,17.28,-0.83,764.00,24320.00,29786.00
1171.97,0.000000,0.000000,73044.85,36.90,0.00,273.04,273.04,0.00,0.01,0.14,1.09,7.12,-10.90,2.79,764.00,24320.00,29786.00
1173.96,0.000000,0.000000,73045.30,36.87,0.00,273.00,273.00,0.00,0.01,0.11,0.84,1.41,0.97,-1.26,764.00,24320.00,29786.00
1175.96,0.000000,0.000000,73045.61,36.86,0.00,272.96,272.96,0.00,-0.05,0.10,0.72,-3.98,-8.68,-5.91,764.00,24320.00,29786.00
1177.96,0.000000,0.000000,73046.29,36.84,0.00,272.89,272.89,0.00,-0.01,0.13,1.02,-4.83,9.85,-1.11,764.00,24320.00,29786.00
1179.96,0.000000,0.000000,73046.95,36.81,0.00,272.82,272.82,0.00,0.03,0.15,1.12,-8.54,0.03,-1.88,764.00,24320.00,29786.00
1181.96,0.000000,0.000000,73046.73,36.79,0.00,272.84,272.84,0.00,0.00,0.10,0.81,-6.74,-6.72,2.33,764.00,24320.00,29786.00
1185.96,0.000000,0.000000,73046.82,36.74,0.00,272.83,272.83,0.00,-0.02,0.16,1.25,1.26,7.53,-1.47,764.00,24320.00,29786.00
1195.97,0.000000,0.000000,73404.18,36.64,0.00,234.13,234.13,0.00,0.21,0.05,0.78,9.32,-69.34,249.99,764.00,24320.00,29786.00
